rec_id,phantom,Algorithm,simulate_measurements,N. angles,grid_tol,p,SSIM,MSE,PSNR [dB],SNR [dB]
mi#1_0,shepp_logan:256,mi,False,120,0.1,,0.21393027861656028,0.014861235462351328,18.279450847760888,6.107017595554884
mi#2_1,shepp_logan:256,mi,False,120,0.2,,0.2910077596657386,0.00780817566530051,21.074504246430436,8.902070994224434
mi#3_2,shepp_logan:256,mi,False,120,0.3,,0.4302635158722681,0.004720068988646058,23.26051653660544,11.088083284399437
mi#4_3,shepp_logan:256,mi,False,120,0.4,,0.5437112089858452,0.0033608760564211165,24.735475033010992,12.56304178080499
mi#5_4,shepp_logan:256,mi,False,120,0.5,,0.6168850047850565,0.0026599686035928692,25.751234894466922,13.578801642260919
mi#6_5,shepp_logan:256,mi,False,120,0.6,,0.6752086759669198,0.0022410901119878403,26.495406805678975,14.322973553472973
mi#7_6,shepp_logan:256,mi,False,120,0.7,,0.711229379012389,0.0019868431609677334,27.018364142261795,14.845930890055794
mi#8_7,shepp_logan:256,mi,False,120,0.8,,0.7222015999083735,0.0018573653241517685,27.31102666718489,15.138593414978889
mi#9_8,shepp_logan:256,mi,False,120,0.9,,0.7278869817503619,0.0017859811984421489,27.481231173712153,15.308797921506155
mi#10_9,shepp_logan:256,mi,False,120,1,,0.7342186303244829,0.0017420799180264321,27.58931925584523,15.416886003639224
irls_cg#1_10,shepp_logan:256,irls_cg,False,120,0.1,1,0.8067646639364157,0.001395963467270874,28.55125947164344,16.378826219437435
irls_cg#2_11,shepp_logan:256,irls_cg,False,120,0.2,1,0.9022040406429822,0.0009912808425753346,30.03803286885546,17.865599616649455
irls_cg#3_12,shepp_logan:256,irls_cg,False,120,0.3,1,0.9036751687679295,0.000933293099887029,30.299819450278065,18.12738619807206
irls_cg#4_13,shepp_logan:256,irls_cg,False,120,0.4,1,0.8886879557995283,0.0009415863207153873,30.261398595114542,18.08896534290854
irls_cg#5_14,shepp_logan:256,irls_cg,False,120,0.5,1,0.8687760368544525,0.0009972547733934842,30.011938762480163,17.83950551027416
irls_cg#6_15,shepp_logan:256,irls_cg,False,120,0.6,1,0.8475539263931237,0.0010929825677828248,29.61386764652401,17.44143439431801
irls_cg#7_16,shepp_logan:256,irls_cg,False,120,0.7,1,0.8296021041762366,0.0011895215603848724,29.24627681855955,17.07384356635355
irls_cg#8_17,shepp_logan:256,irls_cg,False,120,0.8,1,0.8113733568256936,0.0013118748535648865,28.821075925506776,16.648642673300774
irls_cg#9_18,shepp_logan:256,irls_cg,False,120,0.9,1,0.7993903784505199,0.001412087974580576,28.50138245433859,16.328949202132588
irls_cg#10_19,shepp_logan:256,irls_cg,False,120,1,1,0.7903083060177439,0.0014982047710422838,28.24428824249365,16.071854990287648
irls_drs#1_20,shepp_logan:256,irls_drs,False,120,0.1,1,0.18333031512591627,0.01579588423387108,18.014560578156665,5.842127325950663
irls_drs#2_21,shepp_logan:256,irls_drs,False,120,0.2,1,0.31712889894293456,0.006901469279224594,21.61058440866936,9.438151156463357
irls_drs#3_22,shepp_logan:256,irls_drs,False,120,0.3,1,0.45506890990231474,0.0044189483397738824,23.54681075577847,11.374377503572466
irls_drs#4_23,shepp_logan:256,irls_drs,False,120,0.4,1,0.5526521507849681,0.0031685489189160468,24.991395834570636,12.81896258236463
irls_drs#5_24,shepp_logan:256,irls_drs,False,120,0.5,1,0.6249716908971046,0.0025142344864702015,25.99594220909751,13.823508956891509
irls_drs#6_25,shepp_logan:256,irls_drs,False,120,0.6,1,0.6675524135330997,0.0021829239883219206,26.609613866120196,14.437180613914196
irls_drs#7_26,shepp_logan:256,irls_drs,False,120,0.7,1,0.6949602257130102,0.0019815606396759522,27.02992632856066,14.857493076354656
irls_drs#8_27,shepp_logan:256,irls_drs,False,120,0.8,1,0.71150227357477,0.001863880587565378,27.29581914848262,15.123385896276618
irls_drs#9_28,shepp_logan:256,irls_drs,False,120,0.9,1,0.7326752270473269,0.0017464576425743903,27.578419429889944,15.405986177683939
irls_drs#10_29,shepp_logan:256,irls_drs,False,120,1,1,0.7448861740968351,0.0017027612446823667,27.68846243045132,15.516029178245317
mi#11_30,shepp_logan:256,mi,False,120,1.1,,0.7400587173295673,0.0017179226320497413,27.649963988461465,15.477530736255463
mi#12_31,shepp_logan:256,mi,False,120,1.2,,0.7437736857818327,0.0017108116527027562,27.66797800332884,15.49554475112284
mi#13_32,shepp_logan:256,mi,False,120,1.3,,0.7476769206081645,0.0017068750512836224,27.677982694676707,15.505549442470706
irls_cg#11_33,shepp_logan:256,irls_cg,False,120,1.1,1,0.7818519195122383,0.0015749548688494062,28.027318866302473,15.854885614096466
irls_cg#12_34,shepp_logan:256,irls_cg,False,120,1.2,1,0.7758501948605994,0.0016334559938064955,27.86892561160656,15.696492359400558
irls_cg#13_35,shepp_logan:256,irls_cg,False,120,1.3,1,0.7716478549079054,0.001676688755638677,27.75547548159482,15.58304222938882
irls_drs#11_36,shepp_logan:256,irls_drs,False,120,1.1,1,0.750937423417353,0.0016990271278520064,27.69799686827025,15.525563616064247
irls_drs#12_37,shepp_logan:256,irls_drs,False,120,1.2,1,0.7523624266744534,0.0017093908351218246,27.67158628835221,15.499153036146208
irls_drs#13_38,shepp_logan:256,irls_drs,False,120,1.3,1,0.7538402762543971,0.0017207535472360742,27.64281326499805,15.470380012792049
